location_id,location_name,month,bucket_date,accounts_start,accounts_end,deactivated_accounts,active_members,churn_rate_accounts,churn_rate_members,new_signups,source_schema
DEF,Alpine Wash,Feb-22,2022-02-01,1882,1973,91,2042,4.835281615302869,4.664274730907227,182,alpine_wash_llc
DEF,Alpine Wash,Mar-22,2022-03-01,1973,2073,118,2144,5.980739989863152,5.778648383937316,218,alpine_wash_llc
DEF,Alpine Wash,Apr-22,2022-04-01,2073,2259,118,2328,5.692233478051133,5.597014925373134,304,alpine_wash_llc
DEF,Alpine Wash,May-22,2022-05-01,2259,2280,130,2350,5.754758742806551,5.584192439862542,151,alpine_wash_llc
DEF,Alpine Wash,Jun-22,2022-06-01,2280,2282,127,2351,5.570175438596491,5.531914893617021,129,alpine_wash_llc
DEF,Alpine Wash,Jul-22,2022-07-01,2282,2330,133,2400,5.828220858895705,5.657167162909400,181,alpine_wash_llc
DEF,Alpine Wash,Aug-22,2022-08-01,2330,2355,137,2479,5.879828326180257,5.708333333333333,162,alpine_wash_llc
DEF,Alpine Wash,Sep-22,2022-09-01,2355,2372,151,2496,6.411889596602972,6.091165792658329,168,alpine_wash_llc
DEF,Alpine Wash,Oct-22,2022-10-01,2372,2424,127,2547,5.354131534569983,5.128205128205128,179,alpine_wash_llc
DEF,Alpine Wash,Nov-22,2022-11-01,2424,2371,111,2491,4.579207920792079,4.475853945818610,58,alpine_wash_llc
DEF,Alpine Wash,Dec-22,2022-12-01,2371,2317,129,2399,5.440742302825811,6.744279405861099,75,alpine_wash_llc
DEF,Alpine Wash,Jan-23,2023-01-01,2317,2309,125,2445,5.394907207596029,5.752396832013338,117,alpine_wash_llc
DEF,Alpine Wash,Feb-23,2023-02-01,2309,2282,121,2417,5.240363793850151,4.989775051124744,94,alpine_wash_llc
DEF,Alpine Wash,Mar-23,2023-03-01,2282,2352,110,2487,4.820333041191936,4.551096400496483,180,alpine_wash_llc
DEF,Alpine Wash,Apr-23,2023-04-01,2352,2401,102,2535,4.336734693877551,4.141535987133092,151,alpine_wash_llc
DEF,Alpine Wash,May-23,2023-05-01,2401,2380,121,2509,5.039566847147022,4.970414201183431,100,alpine_wash_llc
DEF,Alpine Wash,Jun-23,2023-06-01,2380,2397,111,2526,4.663865546218487,4.463929852530888,128,alpine_wash_llc
DEF,Alpine Wash,Jul-23,2023-07-01,2397,2389,150,2518,6.257822277847309,5.977830562153602,142,alpine_wash_llc
DEF,Alpine Wash,Aug-23,2023-08-01,2389,2430,132,2559,5.525324403516115,5.281969817315329,173,alpine_wash_llc
DEF,Alpine Wash,Sep-23,2023-09-01,2430,2443,107,2575,4.403292181069958,4.181320828448612,120,alpine_wash_llc
DEF,Alpine Wash,Oct-23,2023-10-01,2443,2423,93,2555,3.806794924273434,3.611650485436893,73,alpine_wash_llc
DEF,Alpine Wash,Nov-23,2023-11-01,2423,2406,104,2539,4.292199752373091,4.070450097847358,87,alpine_wash_llc
DEF,Alpine Wash,Dec-23,2023-12-01,2406,2384,101,2517,4.197838736492103,3.977944072469476,79,alpine_wash_llc
DEF,Alpine Wash,Jan-24,2024-01-01,2384,2389,92,2523,3.859060402684563,3.655145013905442,97,alpine_wash_llc
DEF,Alpine Wash,Feb-24,2024-02-01,2389,2367,99,2501,4.143993302637086,3.923900118906064,77,alpine_wash_llc
DEF,Alpine Wash,Mar-24,2024-03-01,2367,2345,116,2479,4.900718208702999,4.638144742103158,94,alpine_wash_llc
DEF,Alpine Wash,Apr-24,2024-04-01,2345,2465,110,2530,4.690831556503198,7.220653489310205,230,alpine_wash_llc
DEF,Alpine Wash,May-24,2024-05-01,2465,2473,115,2538,4.665314401622718,4.545454545454545,123,alpine_wash_llc
DEF,Alpine Wash,Jun-24,2024-06-01,2473,2451,143,2516,5.782450465022240,5.634357762017336,121,alpine_wash_llc
DEF,Alpine Wash,Jul-24,2024-07-01,2451,2434,118,2499,4.814361485108119,4.689984101748807,101,alpine_wash_llc
DEF,Alpine Wash,Aug-24,2024-08-01,2434,2437,139,2497,5.710764174198849,5.802320928371348,142,alpine_wash_llc
DEF,Alpine Wash,Sep-24,2024-09-01,2437,2448,92,2508,3.775133360689372,3.684421305566680,103,alpine_wash_llc
DEF,Alpine Wash,Oct-24,2024-10-01,2448,2446,136,2506,5.555555555555555,5.422647527910685,134,alpine_wash_llc
DEF,Alpine Wash,Nov-24,2024-11-01,2446,2432,87,2491,3.556827473426001,3.511572226656025,73,alpine_wash_llc
DEF,Alpine Wash,Dec-24,2024-12-01,2432,2386,107,2444,4.399671052631578,4.335608189482135,61,alpine_wash_llc
DEF,Alpine Wash,Jan-25,2025-01-01,2386,2406,70,2465,2.933780385582564,2.864157119476268,90,alpine_wash_llc
DEF,Alpine Wash,Feb-25,2025-02-01,2406,2396,86,2455,3.574397339983374,3.488843813387423,76,alpine_wash_llc
DEF,Alpine Wash,Mar-25,2025-03-01,2396,2479,126,2534,5.258764607679465,5.336048879837067,185,alpine_wash_llc
DEF,Alpine Wash,Apr-25,2025-04-01,2479,2447,218,2504,8.793868495361032,8.879242304656669,101,alpine_wash_llc
DEF,Alpine Wash,May-25,2025-05-01,2447,2443,198,2500,8.091540662035145,8.067092651757188,83,alpine_wash_llc
DEF,Alpine Wash,Jun-25,2025-06-01,2443,2407,206,2463,8.432255423659435,8.280000000000000,75,alpine_wash_llc
DEF,Alpine Wash,Jul-25,2025-07-01,2407,2408,187,2468,7.769007062733693,7.714169711733658,95,alpine_wash_llc
DEF,Alpine Wash,Aug-25,2025-08-01,2408,2407,178,2461,7.392026578073089,7.495948136142625,97,alpine_wash_llc
DEF,Alpine Wash,Sep-25,2025-09-01,2407,2393,184,2447,7.644370585791441,7.557903291344981,84,alpine_wash_llc
DEF,Alpine Wash,Oct-25,2025-10-01,2393,2402,194,2463,8.106978687839531,8.009807928075194,100,alpine_wash_llc
DEF,Alpine Wash,Nov-25,2025-11-01,2402,2403,160,2466,6.661115736885928,6.617945594803085,87,alpine_wash_llc
DEF,Alpine Wash,Dec-25,2025-12-01,2403,2405,178,2466,7.407407407407407,7.461476074614760,80,alpine_wash_llc
DEF,Alpine Wash,Jan-26,2026-01-01,2405,2410,174,2469,7.234927234927234,7.177615571776155,92,alpine_wash_llc
DEF,Alpine Wash,Feb-26,2026-02-01,2410,2463,173,2526,7.178423236514522,7.006885378695828,130,alpine_wash_llc
DEF,Alpine Wash,Mar-26,2026-03-01,2463,2512,180,2573,7.308160779537149,7.403008709422011,122,alpine_wash_llc
DEF,Alpine Wash,Apr-26,2026-04-01,2513,2466,184,2531,7.321925984878631,7.187257187257187,62,alpine_wash_llc
DEF,Alpine Wash,May-26,2026-05-01,2466,2491,178,2559,7.218167072181670,7.230343737653101,89,alpine_wash_llc
DEF,Alpine Wash,Jun-26,2026-06-01,2491,2451,161,2525,6.463267763950220,6.408753419304415,47,alpine_wash_llc
001,Aqua Shine Greenville,Jul-21,2021-07-01,0,548,8,533,,,556,aquashine_car_wash
001,Aqua Shine Greenville,Jul-21,2021-07-01,0,548,8,533,,,556,aquashine_car_wash
001,Aqua Shine Greenville,Aug-21,2021-08-01,548,648,78,634,14.233576642335766,13.133208255159474,177,aquashine_car_wash
001,Aqua Shine Greenville,Aug-21,2021-08-01,548,648,78,634,14.233576642335766,13.133208255159474,177,aquashine_car_wash
001,Aqua Shine Greenville,Sep-21,2021-09-01,648,685,56,673,8.641975308641975,8.359621451104100,93,aquashine_car_wash
001,Aqua Shine Greenville,Sep-21,2021-09-01,648,685,56,673,8.641975308641975,8.359621451104100,93,aquashine_car_wash
001,Aqua Shine Greenville,Oct-21,2021-10-01,685,725,34,715,4.963503649635036,4.606240713224368,74,aquashine_car_wash
001,Aqua Shine Greenville,Oct-21,2021-10-01,685,725,34,715,4.963503649635036,4.606240713224368,74,aquashine_car_wash
001,Aqua Shine Greenville,Nov-21,2021-11-01,725,721,47,711,6.482758620689655,6.573426573426573,43,aquashine_car_wash
001,Aqua Shine Greenville,Nov-21,2021-11-01,725,721,47,711,6.482758620689655,6.573426573426573,43,aquashine_car_wash
001,Aqua Shine Greenville,Dec-21,2021-12-01,721,721,35,711,4.854368932038834,4.922644163150492,35,aquashine_car_wash
001,Aqua Shine Greenville,Dec-21,2021-12-01,721,721,35,711,4.854368932038834,4.922644163150492,35,aquashine_car_wash
001,Aqua Shine Greenville,Jan-22,2022-01-01,721,734,45,724,6.241331484049930,6.188466947960618,58,aquashine_car_wash
001,Aqua Shine Greenville,Jan-22,2022-01-01,721,734,45,724,6.241331484049930,6.188466947960618,58,aquashine_car_wash
001,Aqua Shine Greenville,Feb-22,2022-02-01,734,748,38,738,5.177111716621253,4.972375690607734,52,aquashine_car_wash
001,Aqua Shine Greenville,Feb-22,2022-02-01,734,748,38,738,5.177111716621253,4.972375690607734,52,aquashine_car_wash
001,Aqua Shine Greenville,Mar-22,2022-03-01,748,807,30,800,4.010695187165775,3.658536585365853,89,aquashine_car_wash
001,Aqua Shine Greenville,Mar-22,2022-03-01,748,807,30,800,4.010695187165775,3.658536585365853,89,aquashine_car_wash
001,Aqua Shine Greenville,Apr-22,2022-04-01,807,888,52,880,6.443618339529120,6.500000000000000,133,aquashine_car_wash
001,Aqua Shine Greenville,Apr-22,2022-04-01,807,888,52,880,6.443618339529120,6.500000000000000,133,aquashine_car_wash
001,Aqua Shine Greenville,May-22,2022-05-01,888,901,64,894,7.207207207207207,7.159090909090909,77,aquashine_car_wash
001,Aqua Shine Greenville,May-22,2022-05-01,888,901,64,894,7.207207207207207,7.159090909090909,77,aquashine_car_wash
001,Aqua Shine Greenville,Jun-22,2022-06-01,901,906,49,903,5.438401775804661,5.033557046979865,54,aquashine_car_wash
001,Aqua Shine Greenville,Jun-22,2022-06-01,901,906,49,903,5.438401775804661,5.033557046979865,54,aquashine_car_wash
001,Aqua Shine Greenville,Jul-22,2022-07-01,906,911,53,911,5.849889624724061,5.426356589147286,58,aquashine_car_wash
001,Aqua Shine Greenville,Jul-22,2022-07-01,906,911,53,911,5.849889624724061,5.426356589147286,58,aquashine_car_wash
001,Aqua Shine Greenville,Aug-22,2022-08-01,911,942,52,943,5.708013172338090,5.488474204171240,83,aquashine_car_wash
001,Aqua Shine Greenville,Aug-22,2022-08-01,911,942,52,943,5.708013172338090,5.488474204171240,83,aquashine_car_wash
001,Aqua Shine Greenville,Sep-22,2022-09-01,942,966,52,967,5.520169851380042,5.408271474019088,76,aquashine_car_wash
001,Aqua Shine Greenville,Sep-22,2022-09-01,942,966,52,967,5.520169851380042,5.408271474019088,76,aquashine_car_wash
001,Aqua Shine Greenville,Oct-22,2022-10-01,966,985,57,988,5.900621118012422,5.584281282316442,76,aquashine_car_wash
001,Aqua Shine Greenville,Oct-22,2022-10-01,966,985,57,988,5.900621118012422,5.584281282316442,76,aquashine_car_wash
001,Aqua Shine Greenville,Nov-22,2022-11-01,985,981,44,983,4.467005076142131,4.453441295546558,40,aquashine_car_wash
001,Aqua Shine Greenville,Nov-22,2022-11-01,985,981,44,983,4.467005076142131,4.453441295546558,40,aquashine_car_wash
001,Aqua Shine Greenville,Dec-22,2022-12-01,981,958,57,960,5.810397553516819,5.696846388606307,34,aquashine_car_wash
001,Aqua Shine Greenville,Dec-22,2022-12-01,981,958,57,960,5.810397553516819,5.696846388606307,34,aquashine_car_wash
001,Aqua Shine Greenville,Jan-23,2023-01-01,958,964,51,965,5.323590814196242,5.416666666666666,57,aquashine_car_wash
001,Aqua Shine Greenville,Jan-23,2023-01-01,958,964,51,965,5.323590814196242,5.416666666666666,57,aquashine_car_wash
001,Aqua Shine Greenville,Feb-23,2023-02-01,964,965,68,966,7.053941908713692,6.943005181347150,69,aquashine_car_wash
001,Aqua Shine Greenville,Feb-23,2023-02-01,964,965,68,966,7.053941908713692,6.943005181347150,69,aquashine_car_wash
001,Aqua Shine Greenville,Mar-23,2023-03-01,965,1068,49,1070,5.077720207253886,4.865424430641821,152,aquashine_car_wash
001,Aqua Shine Greenville,Mar-23,2023-03-01,965,1068,49,1070,5.077720207253886,4.865424430641821,152,aquashine_car_wash
001,Aqua Shine Greenville,Apr-23,2023-04-01,1068,1082,72,1082,6.741573033707865,6.728971962616822,86,aquashine_car_wash
001,Aqua Shine Greenville,Apr-23,2023-04-01,1068,1082,72,1082,6.741573033707865,6.728971962616822,86,aquashine_car_wash
001,Aqua Shine Greenville,May-23,2023-05-01,1082,1068,75,1072,6.931608133086876,6.561922365988909,59,aquashine_car_wash
001,Aqua Shine Greenville,May-23,2023-05-01,1082,1068,75,1072,6.931608133086876,6.561922365988909,59,aquashine_car_wash
001,Aqua Shine Greenville,Jun-23,2023-06-01,1068,1073,49,1078,4.588014981273408,4.477611940298507,54,aquashine_car_wash
001,Aqua Shine Greenville,Jun-23,2023-06-01,1068,1073,49,1078,4.588014981273408,4.477611940298507,54,aquashine_car_wash
001,Aqua Shine Greenville,Jul-23,2023-07-01,1073,1088,45,1091,4.193849021435228,4.081632653061224,60,aquashine_car_wash
001,Aqua Shine Greenville,Jul-23,2023-07-01,1073,1088,45,1091,4.193849021435228,4.081632653061224,60,aquashine_car_wash
001,Aqua Shine Greenville,Aug-23,2023-08-01,1088,1081,70,1086,6.433823529411764,6.141154903758020,63,aquashine_car_wash
001,Aqua Shine Greenville,Aug-23,2023-08-01,1088,1081,70,1086,6.433823529411764,6.141154903758020,63,aquashine_car_wash
001,Aqua Shine Greenville,Sep-23,2023-09-01,1081,1069,66,1075,6.105457909343200,5.985267034990791,53,aquashine_car_wash
001,Aqua Shine Greenville,Sep-23,2023-09-01,1081,1069,66,1075,6.105457909343200,5.985267034990791,53,aquashine_car_wash
001,Aqua Shine Greenville,Oct-23,2023-10-01,1069,1064,60,1071,5.612722170252572,5.395348837209302,55,aquashine_car_wash
001,Aqua Shine Greenville,Oct-23,2023-10-01,1069,1064,60,1071,5.612722170252572,5.395348837209302,55,aquashine_car_wash
001,Aqua Shine Greenville,Nov-23,2023-11-01,1064,1067,53,1071,4.981203007518796,5.042016806722689,56,aquashine_car_wash
001,Aqua Shine Greenville,Nov-23,2023-11-01,1064,1067,53,1071,4.981203007518796,5.042016806722689,56,aquashine_car_wash
001,Aqua Shine Greenville,Dec-23,2023-12-01,1067,1041,57,1044,5.342080599812558,5.415499533146591,31,aquashine_car_wash
001,Aqua Shine Greenville,Dec-23,2023-12-01,1067,1041,57,1044,5.342080599812558,5.415499533146591,31,aquashine_car_wash
001,Aqua Shine Greenville,Jan-24,2024-01-01,1041,1009,56,1013,5.379442843419788,5.363984674329501,24,aquashine_car_wash
001,Aqua Shine Greenville,Jan-24,2024-01-01,1041,1009,56,1013,5.379442843419788,5.363984674329501,24,aquashine_car_wash
001,Aqua Shine Greenville,Feb-24,2024-02-01,1009,1013,37,1016,3.666997026759167,3.751233958538993,41,aquashine_car_wash
001,Aqua Shine Greenville,Feb-24,2024-02-01,1009,1013,37,1016,3.666997026759167,3.751233958538993,41,aquashine_car_wash
001,Aqua Shine Greenville,Mar-24,2024-03-01,1013,1026,47,1030,4.639684106614017,4.625984251968503,60,aquashine_car_wash
001,Aqua Shine Greenville,Mar-24,2024-03-01,1013,1026,47,1030,4.639684106614017,4.625984251968503,60,aquashine_car_wash
001,Aqua Shine Greenville,Apr-24,2024-04-01,1026,1054,54,1056,5.263157894736842,5.145631067961165,82,aquashine_car_wash
001,Aqua Shine Greenville,Apr-24,2024-04-01,1026,1054,54,1056,5.263157894736842,5.145631067961165,82,aquashine_car_wash
001,Aqua Shine Greenville,May-24,2024-05-01,1054,1059,60,1061,5.692599620493358,5.587121212121212,65,aquashine_car_wash
001,Aqua Shine Greenville,May-24,2024-05-01,1054,1059,60,1061,5.692599620493358,5.587121212121212,65,aquashine_car_wash
001,Aqua Shine Greenville,Jun-24,2024-06-01,1059,1093,78,1092,7.365439093484419,7.257304429783223,112,aquashine_car_wash
001,Aqua Shine Greenville,Jun-24,2024-06-01,1059,1093,78,1092,7.365439093484419,7.257304429783223,112,aquashine_car_wash
001,Aqua Shine Greenville,Jul-24,2024-07-01,1093,1104,63,1106,5.763952424519670,5.494505494505494,74,aquashine_car_wash
001,Aqua Shine Greenville,Jul-24,2024-07-01,1093,1104,63,1106,5.763952424519670,5.494505494505494,74,aquashine_car_wash
001,Aqua Shine Greenville,Aug-24,2024-08-01,1104,1076,67,1078,6.068840579710144,5.967450271247739,39,aquashine_car_wash
001,Aqua Shine Greenville,Aug-24,2024-08-01,1104,1076,67,1078,6.068840579710144,5.967450271247739,39,aquashine_car_wash
001,Aqua Shine Greenville,Sep-24,2024-09-01,1076,1076,40,1077,3.717472118959107,3.710575139146567,40,aquashine_car_wash
001,Aqua Shine Greenville,Sep-24,2024-09-01,1076,1076,40,1077,3.717472118959107,3.710575139146567,40,aquashine_car_wash
001,Aqua Shine Greenville,Oct-24,2024-10-01,1076,1156,63,1152,5.855018587360594,5.849582172701949,143,aquashine_car_wash
001,Aqua Shine Greenville,Oct-24,2024-10-01,1076,1156,63,1152,5.855018587360594,5.849582172701949,143,aquashine_car_wash
001,Aqua Shine Greenville,Nov-24,2024-11-01,1156,1196,58,1188,5.017301038062283,5.121527777777777,98,aquashine_car_wash
001,Aqua Shine Greenville,Nov-24,2024-11-01,1156,1196,58,1188,5.017301038062283,5.121527777777777,98,aquashine_car_wash
001,Aqua Shine Greenville,Dec-24,2024-12-01,1196,1174,86,1168,7.190635451505016,7.070707070707070,64,aquashine_car_wash
001,Aqua Shine Greenville,Dec-24,2024-12-01,1196,1174,86,1168,7.190635451505016,7.070707070707070,64,aquashine_car_wash
001,Aqua Shine Greenville,Jan-25,2025-01-01,1174,1170,93,1163,7.921635434412265,7.876712328767123,89,aquashine_car_wash
001,Aqua Shine Greenville,Jan-25,2025-01-01,1174,1170,93,1163,7.921635434412265,7.876712328767123,89,aquashine_car_wash
001,Aqua Shine Greenville,Feb-25,2025-02-01,1170,1153,77,1142,6.581196581196581,6.620808254514187,60,aquashine_car_wash
001,Aqua Shine Greenville,Feb-25,2025-02-01,1170,1153,77,1142,6.581196581196581,6.620808254514187,60,aquashine_car_wash
001,Aqua Shine Greenville,Mar-25,2025-03-01,1153,1210,72,1198,6.244579358196010,5.866900175131348,129,aquashine_car_wash
001,Aqua Shine Greenville,Mar-25,2025-03-01,1153,1210,72,1198,6.244579358196010,5.866900175131348,129,aquashine_car_wash
001,Aqua Shine Greenville,Apr-25,2025-04-01,1210,1236,71,1222,5.867768595041322,5.759599332220367,97,aquashine_car_wash
001,Aqua Shine Greenville,Apr-25,2025-04-01,1210,1236,71,1222,5.867768595041322,5.759599332220367,97,aquashine_car_wash
001,Aqua Shine Greenville,May-25,2025-05-01,1236,1246,89,1235,7.200647249190938,6.710310965630114,99,aquashine_car_wash
001,Aqua Shine Greenville,May-25,2025-05-01,1236,1246,89,1235,7.200647249190938,6.710310965630114,99,aquashine_car_wash
001,Aqua Shine Greenville,Jun-25,2025-06-01,1246,1388,86,1373,6.902086677367576,6.315789473684210,228,aquashine_car_wash
001,Aqua Shine Greenville,Jun-25,2025-06-01,1246,1388,86,1373,6.902086677367576,6.315789473684210,228,aquashine_car_wash
001,Aqua Shine Greenville,Jul-25,2025-07-01,1388,1623,130,1579,9.365994236311239,9.322651128914785,365,aquashine_car_wash
001,Aqua Shine Greenville,Jul-25,2025-07-01,1388,1623,130,1579,9.365994236311239,9.322651128914785,365,aquashine_car_wash
001,Aqua Shine Greenville,Aug-25,2025-08-01,1623,1724,150,1659,9.242144177449168,8.929702343255224,251,aquashine_car_wash
001,Aqua Shine Greenville,Aug-25,2025-08-01,1623,1724,150,1659,9.242144177449168,8.929702343255224,251,aquashine_car_wash
001,Aqua Shine Greenville,Sep-25,2025-09-01,1724,1809,192,1747,11.136890951276102,9.764918625678119,277,aquashine_car_wash
001,Aqua Shine Greenville,Sep-25,2025-09-01,1724,1809,192,1747,11.136890951276102,9.764918625678119,277,aquashine_car_wash
001,Aqua Shine Greenville,Oct-25,2025-10-01,1809,1820,217,1774,11.995577667219458,10.417859187178019,228,aquashine_car_wash
001,Aqua Shine Greenville,Oct-25,2025-10-01,1809,1820,217,1774,11.995577667219458,10.417859187178019,228,aquashine_car_wash
001,Aqua Shine Greenville,Nov-25,2025-11-01,1820,1771,185,1742,10.164835164835164,8.850056369785794,136,aquashine_car_wash
001,Aqua Shine Greenville,Nov-25,2025-11-01,1820,1771,185,1742,10.164835164835164,8.850056369785794,136,aquashine_car_wash
001,Aqua Shine Greenville,Dec-25,2025-12-01,1771,1700,144,1688,8.130999435347261,7.003444316877152,73,aquashine_car_wash
001,Aqua Shine Greenville,Dec-25,2025-12-01,1771,1700,144,1688,8.130999435347261,7.003444316877152,73,aquashine_car_wash
001,Aqua Shine Greenville,Jan-26,2026-01-01,1698,1627,134,1635,7.891637220259128,6.702253855278766,63,aquashine_car_wash
001,Aqua Shine Greenville,Jan-26,2026-01-01,1698,1627,134,1635,7.891637220259128,6.702253855278766,63,aquashine_car_wash
001,Aqua Shine Greenville,Feb-26,2026-02-01,1627,1545,165,1553,10.141364474492931,10.030581039755351,83,aquashine_car_wash
001,Aqua Shine Greenville,Feb-26,2026-02-01,1627,1545,165,1553,10.141364474492931,10.030581039755351,83,aquashine_car_wash
001,Aqua Shine Greenville,Mar-26,2026-03-01,1545,1640,114,1649,7.378640776699029,7.340631036703155,209,aquashine_car_wash
001,Aqua Shine Greenville,Mar-26,2026-03-01,1545,1640,114,1649,7.378640776699029,7.340631036703155,209,aquashine_car_wash
001,Aqua Shine Greenville,Apr-26,2026-04-01,1640,1624,126,1638,7.682926829268292,7.398423286840509,110,aquashine_car_wash
001,Aqua Shine Greenville,Apr-26,2026-04-01,1640,1624,126,1638,7.682926829268292,7.398423286840509,110,aquashine_car_wash
001,Aqua Shine Greenville,May-26,2026-05-01,1624,1552,110,1567,6.773399014778325,6.654456654456654,38,aquashine_car_wash
001,Aqua Shine Greenville,May-26,2026-05-01,1624,1552,110,1567,6.773399014778325,6.654456654456654,38,aquashine_car_wash
001,Aqua Shine Greenville,Jun-26,2026-06-01,1552,1541,67,1556,4.317010309278350,4.275686024250159,32,aquashine_car_wash
001,Aqua Shine Greenville,Jun-26,2026-06-01,1552,1541,67,1556,4.317010309278350,4.275686024250159,32,aquashine_car_wash
002,Aqua Shine Villa Rica,Mar-26,2026-03-01,0,0,0,0,,,0,aquashine_car_wash
002,Aqua Shine Villa Rica,Mar-26,2026-03-01,0,0,0,0,,,0,aquashine_car_wash
002,Aqua Shine Villa Rica,Apr-26,2026-04-01,0,1203,119,1299,,,1199,aquashine_car_wash
002,Aqua Shine Villa Rica,Apr-26,2026-04-01,0,1203,119,1299,,,1199,aquashine_car_wash
002,Aqua Shine Villa Rica,May-26,2026-05-01,1203,1155,108,1254,8.977556109725685,8.237105465742879,60,aquashine_car_wash
002,Aqua Shine Villa Rica,May-26,2026-05-01,1203,1155,108,1254,8.977556109725685,8.237105465742879,60,aquashine_car_wash
002,Aqua Shine Villa Rica,Jun-26,2026-06-01,1155,1130,91,1223,7.878787878787878,7.974481658692185,69,aquashine_car_wash
