weather_total_precipitation_mm,weather_rainy_days,weather_total_snowfall_cm,weather_days_below_freezing,weather_total_sunshine_hours,weather_days_pleasant_temp,weather_avg_daily_max_windspeed_ms,nearest_gas_station_distance_miles,nearest_gas_station_rating,nearest_gas_station_rating_count,competitors_count_4miles,competitor_1_google_rating,competitor_1_distance_miles,competitor_1_rating_count,distance_nearest_costco(5 mile),distance_nearest_walmart(5 mile),distance_nearest_target (5 mile),other_grocery_count_1mile,count_food_joints_0_5miles (0.5 mile),current_count,previous_count,client_id,street,city,zip,site_client_id,location_id,_match_type,age_on_30_sep_25,region,state,region_enc,state_enc,costco_enc,tunnel_count,carwash_type_encoded,primary_carwash_type,official_website,Address,latitude,longitude
1351.9,125.0,47.81,78.0,3098.131197,134.0,16.15819672,0.33,3.8,49,9.0,3.6,0.14,302.0,,2.04,,,2.0,95616.73,59563.0,Zips Express Car Wash,4860 Cane Run Rd,Louisville,40216,1654,5,chain+street+zip,3.0,South,KY,2,13,99.0,0,1,Express Tunnel,https://zipscarwash.com/,"Zips Express Car Wash, 4860 Cane Run Rd, Louisville, KY, 40216",38.180617,-85.859323
1247.2,177.0,0.0,0.0,3675.631864,157.0,15.53224044,0.51,3.5,396,11.0,4.2,0.85,265.0,4.54,0.25,0.82,3.0,8.0,40973.26,27452.64,Xcell Auto Spa,3510 W Boynton Beach Blvd,Boynton Beach,33436,1639,1,chain+street+zip,6.0,South,FL,2,7,4.54,0,3,Hand Wash / Detail,https://reviews.birdeye.com/xcell-professional-detailing-xcell-auto-spa-169941057850624,"Xcell Auto Spa, 3510 W Boynton Beach Blvd, Boynton Beach, FL, 33436",26.526895,-80.098917
1024.8,116.0,5.6,45.0,3280.798783,154.0,15.80983607,0.92,5.0,1,7.0,4.7,0.56,15.0,,0.97,0.85,3.0,1.0,139059.28,108802.0,Riptide,1101 N Bragg Blvd,Spring Lake,28390,1160,8,chain+street+zip,2.0,South,NC,2,21,99.0,1,1,Express Tunnel,https://www.riptidecarwash.com/,"Riptide, 1101 N Bragg Blvd, Spring Lake, NC, 28390",35.180416,-78.982004
900.5,129.0,0.0,0.0,3646.420136,154.0,17.65437158,0.27,4.0,70,14.0,3.7,0.79,895.0,,1.48,0.78,,3.0,374554.23,267862.91,Woodies,3011 W Gandy Blvd,Tampa,33611,1629,15,chain+street+zip,2.0,South,FL,2,7,99.0,3,1,Express Tunnel,https://www.woodieswash.com/,"Woodies, 3011 W Gandy Blvd, Tampa, FL, 33611",27.893964,-82.492682
733.7,101.0,78.96,104.0,3107.521531,116.0,22.14371585,0.07,3.9,114,9.0,2.3,1.54,23.0,2.25,3.16,0.34,2.0,11.0,292243.47,196876.0,Tsunami Car Wash,140 W Puetz Rd,Oak Creek,53154,1477,9,chain+street+zip,2.0,Midwest,WI,0,43,2.25,2,1,Express Tunnel,http://tsunamicarwash.mywashaccount.com/,"Tsunami Car Wash, 140 W Puetz Rd, Oak Creek, WI, 53154",42.88706,-87.913636
1306.0,121.0,57.05,73.0,3061.905775,148.0,16.98224044,1.2,4.1,119,7.0,4.5,0.08,284.0,,1.14,2.46,1.0,2.0,219886.33,149090.0,Edge Express,110 Patriot Crossing Drive,Stafford,22554,447,8,chain+street+zip,2.0,South,VA,2,39,99.0,1,1,Express Tunnel,https://www.edgeexpresscarwash.com/,"Edge Express, 110 Patriot Crossing Drive, Stafford, VA, 22554",38.4700052,-77.4534223
758.5,81.0,57.89,102.0,3238.094678,121.0,21.83961749,0.05,3.6,25,8.0,4.7,0.09,24.0,1.47,2.36,3.29,,1.0,30115.38,20541.0,Soapatopia,200 W Amaranth Ln,Lincoln,68523,1258,4,chain+street+zip,2.0,Midwest,NE,0,23,1.47,0,1,Express Tunnel,https://soapatopiacarwash.com/,"Soapatopia, 200 W Amaranth Ln, Lincoln, NE, 68523",40.744755,-96.725466
1291.5,171.0,0.0,0.0,3642.037947,157.0,16.87103825,0.57,2.6,7,1.0,4.9,3.19,1004.0,,3.59,,2.0,8.0,94064.69,65277.0,Alton Town Center,5200 Donald Ross Rd,Palm Beach Gardens,33418,15,1,chain+street+zip,2.0,South,FL,2,7,99.0,0,1,In-Bay Automatic,https://www.altontowncenter.com/,"Alton Town Center, 5200 Donald Ross Rd, Palm Beach Gardens, FL, 33418",26.8824789,-80.1134695
1090.2,130.0,9.59,38.0,3324.895128,169.0,16.26065574,0.08,3.8,28,9.0,4.0,0.72,1007.0,,2.32,0.88,3.0,1.0,218303.09,176096.0,Aqua Blue Car Wash,1097 Duluth Hwy,Lawrenceville,30043,24,3,chain+street+zip,2.0,South,GA,2,8,99.0,1,1,Express Tunnel,https://aquabluecarwash.com/,"Aqua Blue Car Wash, 1097 Duluth Hwy, Lawrenceville, GA, 30043",33.9686484,-84.0368782
1062.4,132.0,0.0,0.0,3724.222658,175.0,17.06967213,0.16,4.1,106,10.0,3.8,0.83,237.0,,,,,3.0,112956.58,78733.2,Woodies,111 N Tamiami Trail,Nokomis,34275,1622,11,chain+street+zip,2.0,South,FL,2,7,99.0,0,1,Express Tunnel,https://www.woodieswash.com/,"Woodies, 111 N Tamiami Trail, Nokomis, FL, 34275",27.1246129,-82.453425
826.2,103.0,77.28,92.0,3081.196406,116.0,18.24262295,0.12,4.1,477,8.0,4.1,0.33,387.0,,,,1.0,7.0,301052.27,212301.0,Tsunami Car Wash,3251 Grant St,Gary,46408,1482,6,chain+street+zip,2.0,Midwest,IN,0,11,99.0,2,1,Express Tunnel,http://tsunamicarwash.mywashaccount.com/,"Tsunami Car Wash, 3251 Grant St, Gary, IN, 46408",41.559651,-87.354697
1005.0,110.0,50.12,73.0,3135.211867,130.0,16.55273224,0.18,3.1,18,5.0,,0.2,,2.5,2.33,2.67,2.0,3.0,370304.88,359288.0,Scrubbles STL,297 Salt Lick Rd,St. Peters,63376,1223,4,chain+street+zip,2.0,Midwest,MO,0,18,2.5,3,1,Express Tunnel,https://scrubblesstl.mywashaccount.com/,"Scrubbles STL, 297 Salt Lick Rd, St. Peters, MO, 63376",38.799026,-90.655157
798.9,109.0,70.56,93.0,3120.794275,111.0,18.76256831,0.08,3.0,74,11.0,3.3,0.2,406.0,4.14,2.0,1.37,3.0,10.0,46666.83,33530.47,Evanston Car Wash,2416 Dempster St,Evanston,60202,470,1,chain+street+zip,3.0,Midwest,IL,0,10,4.14,0,1,Express Tunnel,https://www.evanstoncarwash.com/,"Evanston Car Wash, 2416 Dempster St, Evanston, IL, 60202",42.0406899,-87.7078383
1315.8,165.0,31.99,81.0,3280.661017,149.0,19.30327869,0.12,3.8,9,9.0,4.4,0.2,406.0,,0.55,,1.0,20.0,207518.42,149306.0,Five Star,1200 Blowing Rock Rd,Boone,28607,501,7,chain+street+zip,2.0,South,NC,2,21,99.0,1,1,Express Tunnel,https://wash5star.com/locations/boone/,"Five Star, 1200 Blowing Rock Rd, Boone, NC, 28607",36.203392,-81.666641
856.3,107.0,71.05,99.0,3035.443019,115.0,16.42540984,0.27,3.6,57,11.0,5.0,0.56,3.0,,1.44,1.82,1.0,3.0,156408.78,122133.0,Drip Auto Spa,8955 Indianapolis Blvd,Highland,46322,430,1,chain+street+zip,2.0,Midwest,IN,0,11,99.0,1,1,Express Tunnel,https://dripautospany.com/,"Drip Auto Spa, 8955 Indianapolis Blvd, Highland, IN, 46322",41.550137,-87.470934
736.4,101.0,71.68,122.0,3093.946161,116.0,19.06120219,0.28,3.7,23,11.0,,0.95,,4.21,1.56,3.87,3.0,4.0,300854.09,218406.0,Tsunami Car Wash,5520 W Layton Ave,Greenfield,53220,1483,3,chain+street+zip,4.0,Midwest,WI,0,43,4.21,2,1,Express Tunnel,http://tsunamicarwash.mywashaccount.com/,"Tsunami Car Wash, 5520 W Layton Ave, Greenfield, WI, 53220",42.959942,-87.984392
731.7,121.0,108.64,124.0,2884.660608,117.0,19.84098361,0.18,3.9,75,10.0,3.8,1.0,123.0,,1.85,1.71,1.0,6.0,63475.53,46348.07,Wave Auto Wash,451 68th St SW,Grand Rapids,49548,1600,1,chain+street+zip,3.0,Midwest,MI,0,17,99.0,0,1,Express Tunnel,https://wavesautowash.com/,"Wave Auto Wash, 451 68th St SW, Grand Rapids, MI, 49548",42.841572,-85.674812
1121.9,144.0,0.0,0.0,3617.976642,166.0,16.21229508,0.11,3.9,245,1.0,3.0,3.04,300.0,,0.19,,4.0,4.0,245494.32,179477.0,Woodies,4927 FL-674,Wimauma,33598,1630,6,chain+street+zip,3.0,South,FL,2,7,99.0,2,1,Express Tunnel,https://www.woodieswash.com/,"Woodies, 4927 FL-674, Wimauma, FL, 33598",27.7117577,-82.3330877
931.5,118.0,34.65,74.0,3229.634733,145.0,17.18606557,0.31,4.5,84,12.0,3.6,0.17,156.0,,2.11,1.96,4.0,14.0,112256.59,82412.0,Road Runner Express,7816 Timberlake Rd,Lynchburg,24502,1178,1,chain+street+zip,3.0,South,VA,2,39,99.0,0,1,Express Tunnel,https://roadrunnercarwash.com/,"Road Runner Express, 7816 Timberlake Rd, Lynchburg, VA, 24502",37.3517798,-79.2267212
941.7,113.0,10.43,55.0,3276.718506,159.0,17.58715847,0.34,3.0,6,11.0,3.6,0.6,515.0,2.06,0.35,3.17,9.0,11.0,131887.31,125245.0,Five Star,3803 W Gate City Blvd,Greensboro,27407,503,6,chain+street+zip,3.0,South,NC,2,21,2.06,1,1,Express Tunnel,https://wash5star.com/locations/boone/,"Five Star, 3803 W Gate City Blvd, Greensboro, NC, 27407",36.037959,-79.855512
954.2,131.0,0.0,0.0,3635.420917,154.0,16.03961749,0.45,4.0,62,10.0,5.0,1.45,1.0,,0.19,3.39,,3.0,114556.98,84713.03,Woodies,9350 Theater Dr,Gibsonton,33534,1621,10,chain+street+zip,3.0,South,FL,2,7,99.0,0,1,Express Tunnel,https://www.woodieswash.com/,"Woodies, 9350 Theater Dr, Gibsonton, FL, 33534",27.849161,-82.350817
1005.0,110.0,50.12,73.0,3135.211867,130.0,16.55273224,0.19,4.4,154,7.0,4.0,0.23,166.0,1.91,0.06,2.42,,1.0,178132.16,178532.0,Scrubbles STL,3300 Mid Rivers Mall Dr,St. Peters,63376,1218,6,chain+street+zip,2.0,Midwest,MO,0,18,1.91,1,1,Express Tunnel,https://scrubblesstl.mywashaccount.com/,"Scrubbles STL, 3300 Mid Rivers Mall Dr, St. Peters, MO, 63376",38.772471,-90.62473
1353.0,165.0,0.0,0.0,3607.834381,163.0,15.50327869,0.24,3.5,21,13.0,4.1,0.24,8.0,0.72,0.96,1.17,3.0,2.0,61233.31,45740.0,Coral Springs Classic Car Wash,10610 Wiles Rd,Coral Springs,33076,383,1,chain+street+zip,6.0,South,FL,2,7,0.72,0,1,Express Tunnel,https://classic-carwash.com/,"Coral Springs Classic Car Wash, 10610 Wiles Rd, Coral Springs, FL, 33076",26.286774,-80.267906
913.5,106.0,9.31,21.0,3379.203856,149.0,15.65,0.55,4.0,71,7.0,,0.96,,,0.05,,2.0,15.0,146663.29,113062.0,FoamWorks Express,1303 16th Ave E,Cordele,31015,512,10,chain+street+zip,2.0,South,GA,2,8,99.0,1,1,Express Tunnel,https://foamworkscarwash.com/,"FoamWorks Express, 1303 16th Ave E, Cordele, GA, 31015",31.962575,-83.7616859
1363.5,99.0,16.38,28.0,3403.851406,145.0,18.22923497,0.39,3.7,155,13.0,4.8,0.95,1611.0,0.85,0.45,2.14,2.0,5.0,162767.27,148215.0,Oasis Auto Spa,5001 Collin McKinney Pkwy,McKinney,75070,1080,1,chain+street+zip,2.0,South,TX,2,37,0.85,1,1,Express Tunnel,https://www.oasisautospa.org/,"Oasis Auto Spa, 5001 Collin McKinney Pkwy, McKinney, TX, 75070",33.149619,-96.68141
961.5,125.0,0.14,6.0,3578.618275,162.0,14.63306011,0.09,4.0,13,11.0,4.6,0.34,328.0,,2.14,1.95,3.0,11.0,298345.32,240336.0,Gallo Car Wash,3020 NW 13th St,Gainesville,32609,528,1,chain+street+zip,2.0,South,FL,2,7,99.0,2,1,Express Tunnel,https://www.gallocarwash.com/,"Gallo Car Wash, 3020 NW 13th St, Gainesville, FL, 32609",29.6804967,-82.3392005
321.9,76.0,78.68,127.0,3400.456808,111.0,19.26502732,0.53,3.0,29,13.0,4.0,1.26,183.0,2.33,1.35,1.34,2.0,6.0,96935.56,72870.0,Firehose Car Wash,1269 E 17th St,Idaho Falls,83404,500,1,chain+street+zip,4.0,West,ID,4,9,2.33,0,1,Express Tunnel,https://firehosewash.com/,"Firehose Car Wash, 1269 E 17th St, Idaho Falls, ID, 83404",43.4827819,-112.009258
1005.0,110.0,50.12,73.0,3135.211867,130.0,16.55273224,0.46,4.4,145,8.0,4.2,0.4,186.0,1.96,0.88,0.52,,12.0,104704.48,79002.0,Scrubbles STL,1125 Cave Springs Blvd,St. Peters,63376,1219,1,chain+street+zip,2.0,Midwest,MO,0,18,1.96,0,1,Express Tunnel,https://scrubblesstl.mywashaccount.com/,"Scrubbles STL, 1125 Cave Springs Blvd, St. Peters, MO, 63376",38.789628,-90.571748
826.2,103.0,77.28,92.0,3081.196406,116.0,18.24262295,0.01,3.9,427,10.0,5.0,0.09,1.0,,3.76,3.33,2.0,6.0,57933.07,43776.0,Wash Up,1224 E Ridge Rd,Griffith,46319,1579,7,chain+street+zip,2.0,Midwest,IN,0,11,99.0,0,1,Express Tunnel,https://www.uwashup.com/,"Wash Up, 1224 E Ridge Rd, Griffith, IN, 46319",41.5501999,-87.41374
982.6,114.0,18.69,54.0,3197.464897,149.0,18.02431694,0.27,3.0,20,8.0,,0.57,,,0.15,,2.0,12.0,109634.72,82986.0,Auto Brite Express,211 N Cooper Dr,Henderson,27536,38,1,chain+street+zip,3.0,South,NC,2,21,99.0,0,3,Full Service,https://www.auto-briteexpresslube.com/,"Auto Brite Express, 211 N Cooper Dr, Henderson, NC, 27536",36.3328857,-78.4411011
980.2,122.0,5.67,42.0,3337.676069,169.0,17.94453552,0.4,4.1,51,12.0,,0.34,,1.77,0.1,1.54,3.0,12.0,47143.06,35583.0,Colonial Car Wash,1405 Woodruff Rd,Greenville,29607,372,6,chain+street+zip,2.0,South,SC,2,34,1.77,0,2,Flex,https://colonialcw.com/wash-services/car-washing/,"Colonial Car Wash, 1405 Woodruff Rd, Greenville, SC, 29607",34.8218738,-82.2836692
1095.2,121.0,9.03,53.0,3229.75245,149.0,16.67431694,0.33,3.8,49,10.0,4.2,0.2,1096.0,,0.19,1.98,4.0,7.0,123634.06,93884.0,Edge Express,1004 Morrisville Carpenter Rd,Morrisville,27560,441,6,chain+street+zip,2.0,South,NC,2,21,99.0,1,1,Express Tunnel,https://www.edgeexpresscarwash.com/,"Edge Express, 1004 Morrisville Carpenter Rd, Morrisville, NC, 27560",35.819564,-78.844282
1205.7,128.0,32.41,44.0,3167.527408,140.0,17.75191257,0.16,4.7,6,13.0,4.1,0.37,30.0,,2.08,3.96,2.0,2.0,128540.0,108970.0,Riptide,3335 Victory Blvd,Portsmouth,23701,1167,7,chain+street+zip,2.0,South,VA,2,39,99.0,1,1,Express Tunnel,https://www.riptidecarwash.com/,"Riptide, 3335 Victory Blvd, Portsmouth, VA, 23701",36.799698,-76.352119
880.8,105.0,6.79,49.0,3280.060994,164.0,17.6068306,0.13,3.8,5,4.0,3.5,0.38,24.0,,0.4,4.53,2.0,13.0,150964.0,115735.0,Riptide,1001 Dallas Cherryville Hwy,Dallas,28034,1169,6,chain+street+zip,3.0,South,NC,2,21,99.0,1,1,Express Tunnel,https://www.riptidecarwash.com/,"Riptide, 1001 Dallas Cherryville Hwy, Dallas, NC, 28034",35.315321,-81.189858
1021.6,122.0,112.35,108.0,2949.263628,123.0,19.24453552,0.36,4.7,3,8.0,3.6,0.13,77.0,,2.32,,1.0,1.0,322433.4,250604.0,Tsunami Car Wash,821 Pine Lake Ave,La Porte,46350,1478,7,chain+street+zip,2.0,Midwest,IN,0,11,99.0,2,1,Express Tunnel,http://tsunamicarwash.mywashaccount.com/,"Tsunami Car Wash, 821 Pine Lake Ave, La Porte, IN, 46350",41.628196,-86.736398
1278.3,145.0,21.56,72.0,3255.608981,156.0,16.93797814,0.17,4.3,60,3.0,4.4,0.17,71.0,,4.73,,2.0,2.0,273629.92,236285.0,TruShine,1912 TN-394,Blountville,37617,1457,7,chain+street+zip,2.0,South,TN,2,36,99.0,2,1,Express Tunnel,https://www.trushinecarwash.com/,"TruShine, 1912 TN-394, Blountville, TN, 37617",36.5234851,-82.3165076
1038.7,132.0,0.0,0.0,3698.158119,167.0,16.85655738,0.32,3.9,311,13.0,4.9,0.14,6838.0,,1.8,0.93,2.0,6.0,245515.44,191616.0,Woodies,8680 N. Park Blvd,Seminole,33777,1625,13,chain+street+zip,2.0,South,FL,2,7,99.0,2,1,Express Tunnel,https://www.woodieswash.com/,"Woodies, 8680 N. Park Blvd, Seminole, FL, 33777",27.8384124,-82.7592529
1195.4,112.0,22.89,32.0,2959.051317,119.0,17.0704918,1.66,3.0,3,5.0,4.5,1.74,430.0,3.18,4.32,3.17,,0.0,55189.92,49715.67,Happy Car Wash 2,527 NW North Albany Rd,Albany,97321,616,1,chain+street+zip,3.0,West,OR,4,31,3.18,0,1,Express Tunnel,https://happycarwashes.com/manage-membership/,"Happy Car Wash 2, 527 NW North Albany Rd, Albany, OR, 97321",44.6628723,-123.1239851
1469.6,128.0,21.0,43.0,3270.104025,152.0,18.09562842,0.13,4.3,41,7.0,4.6,0.24,12.0,,0.17,,1.0,11.0,128013.0,100959.0,Century Car Wash,2660 McIngvale Rd,Hernando,38632,285,8,chain+street+zip,2.0,South,MS,2,19,99.0,1,1,Express Tunnel,https://centurycarwash.mywashaccount.com/,"Century Car Wash, 2660 McIngvale Rd, Hernando, MS, 38632",34.820948,-89.971472
932.4,86.0,55.09,36.0,3283.812706,118.0,13.15464481,0.59,4.0,199,13.0,4.4,0.61,274.0,,0.89,,1.0,2.0,353051.56,330642.0,Rogue Car Wash,819 SE Mill St,Grants Pass,97526,1199,1,chain+street+zip,2.0,West,OR,4,31,99.0,2,1,Express Tunnel,https://www.roguecarwash.com/,"Rogue Car Wash, 819 SE Mill St, Grants Pass, OR, 97526",42.431156,-123.318903
977.2,119.0,47.67,90.0,3205.340644,150.0,16.47923497,0.76,3.4,14,3.0,4.7,0.19,145.0,,,,2.0,7.0,242518.88,216280.0,Road Runner Express,101 Market Center Way,Daleville,24083,1176,3,chain+street+zip,2.0,South,VA,2,39,99.0,2,1,Express Tunnel,https://roadrunnercarwash.com/,"Road Runner Express, 101 Market Center Way, Daleville, VA, 24083",37.417232,-79.911144
859.0,112.0,9.73,48.0,3257.678881,162.0,16.98087432,0.35,4.2,153,1.0,1.8,0.34,5.0,,,,1.0,8.0,115358.68,90650.0,Lakes Edge,7916 Bradley Long Dr,Sherrills Ford,28673,672,1,chain+street+zip,2.0,South,NC,2,21,99.0,0,2,Self-Serve,https://ntslakesedge.com/,"Lakes Edge, 7916 Bradley Long Dr, Sherrills Ford, NC, 28673",35.58289,-80.988709
794.9,118.0,100.31,129.0,2820.377278,121.0,19.99945355,0.25,4.1,89,7.0,3.8,0.26,358.0,,0.24,0.38,4.0,10.0,155962.88,122714.0,Drip Car Wash,3709 Owen Rd,Fenton,48430,431,1,chain+street+zip,2.0,Midwest,MI,0,17,99.0,1,1,Express Tunnel,https://dripcarwash.com/,"Drip Car Wash, 3709 Owen Rd, Fenton, MI, 48430",42.7887226,-83.7444529
1428.1,139.0,51.38,82.0,3094.392889,135.0,18.7931694,0.01,4.2,218,5.0,4.2,2.14,164.0,,2.15,4.61,1.0,1.0,10344.6,8571.59,Kwik Car Wash,4000 Catnip Hill Rd,Nicholasville,40356,667,1,chain+street+zip,10.0,South,KY,2,13,99.0,0,1,Express Tunnel,https://www.carwashkwik.com/,"Kwik Car Wash, 4000 Catnip Hill Rd, Nicholasville, KY, 40356",37.929019,-84.550586
1016.2,113.0,5.39,37.0,3368.657169,170.0,18.1568306,0.2,4.1,59,14.0,3.9,0.85,171.0,,1.86,1.51,,4.0,375730.91,337004.0,Papa Bear,1500 Pearman Dairy Rd,Anderson,29625,1093,4,chain+street+zip,2.0,South,SC,2,34,99.0,3,1,Express Tunnel,https://www.papabearcarwash.com/,"Papa Bear, 1500 Pearman Dairy Rd, Anderson, SC, 29625",34.531945,-82.696336
,,,,,,,0.3,4.8,223,,,,,,,,,,159521.99,126908.0,Suds Bucket Car Wash,615 landmark Point Blvd. Suite B,Gray,31032,1348,1,chain+street+zip,2.0,South,GA,2,8,99.0,1,1,Express Tunnel,https://www.sudsbucketcarwash.com/wash-packages/,"Suds Bucket Car Wash, 615 landmark Point Blvd. Suite B, Gray, GA, 31032",,
1080.5,111.0,46.83,61.0,3167.458703,136.0,16.46311475,0.59,4.0,68,8.0,4.7,2.17,15.0,,2.61,3.52,3.0,1.0,142089.02,114085.0,Riptide,3025 Mechanicsville Turnpike,Richmond,23223,1161,2,chain+street+zip,3.0,South,VA,2,39,99.0,1,1,Express Tunnel,https://www.riptidecarwash.com/,"Riptide, 3025 Mechanicsville Turnpike, Richmond, VA, 23223",37.567935,-77.401696
1116.1,106.0,44.03,89.0,3185.407322,137.0,21.80273224,0.1,1.0,3,5.0,4.4,0.2,92.0,,0.85,,,3.0,97796.31,78600.0,Auto Soak,18711 S Gardner Rd,Gardner,66030,40,1,chain+street+zip,2.0,Midwest,KS,0,12,99.0,0,1,Express Tunnel,https://autosoakcarwash.com/,"Auto Soak, 18711 S Gardner Rd, Gardner, KS, 66030",38.788935,-94.926749
962.2,131.0,0.0,0.0,3674.325397,158.0,15.67759563,0.64,4.0,85,11.0,4.6,0.66,27.0,4.33,1.28,2.54,3.0,7.0,204701.95,165514.44,Woodies,7601 Ulmerton Rd,Largo,33771,1631,14,chain+street+zip,2.0,South,FL,2,7,4.33,1,1,Express Tunnel,https://www.woodieswash.com/,"Woodies, 7601 Ulmerton Rd, Largo, FL, 33771",27.8948321,-82.7431977
441.9,80.0,60.34,115.0,3648.155117,116.0,14.55464481,0.52,4.2,68,15.0,2.7,0.44,110.0,1.84,2.4,2.19,4.0,11.0,51061.11,41090.0,Blue Sky Englewood,3718 S Broadway,Englewood,80113,101,1,chain+street+zip,3.0,West,CO,4,4,1.84,0,3,Full Service,https://www.blueskyplumbing.com/englewood/air-conditioning/ac-installation-replacement/,"Blue Sky Englewood, 3718 S Broadway, Englewood, CO, 80113",39.649041,-104.9873961
